dataset_id,source_month,geography,metric,value,source_value,value_status
9603,202505,機關別總計,總計,54795,54795,numeric
9603,202505,機關別總計,竊盜,6939,6939,numeric
9603,202505,機關別總計,贓物,5,5,numeric
9603,202505,機關別總計,賭博,225,225,numeric
9603,202505,機關別總計,傷害,2287,2287,numeric
9603,202505,機關別總計,詐欺背信,18258,18258,numeric
9603,202505,機關別總計,妨害自由,2710,2710,numeric
9603,202505,機關別總計,殺人,33,33,numeric
9603,202505,機關別總計,駕駛過失,3267,3267,numeric
9603,202505,機關別總計,妨害家庭及婚姻,43,43,numeric
9603,202505,機關別總計,妨害風化,92,92,numeric
9603,202505,機關別總計,妨害性自主罪,522,522,numeric
9603,202505,機關別總計,恐嚇取財,92,92,numeric
9603,202505,機關別總計,擄人勒贖,1,1,numeric
9603,202505,機關別總計,侵占,2158,2158,numeric
9603,202505,機關別總計,偽造文書印文,837,837,numeric
9603,202505,機關別總計,違反毒品危害防制條例,4139,4139,numeric
9603,202505,機關別總計,毀棄損壞,1493,1493,numeric
9603,202505,機關別總計,妨害公務,103,103,numeric
9603,202505,機關別總計,妨害電腦使用,2014,2014,numeric
9603,202505,機關別總計,強盜搶奪,18,18,numeric
9603,202505,機關別總計,內亂,0,-,dash_zero
9603,202505,機關別總計,重利,64,64,numeric
9603,202505,機關別總計,竊佔,114,114,numeric
9603,202505,機關別總計,偽造有價證券,8,8,numeric
9603,202505,機關別總計,妨害秩序,64,64,numeric
9603,202505,機關別總計,違反藥事法,4,4,numeric
9603,202505,機關別總計,違反國家總動員法,0,-,dash_zero
9603,202505,機關別總計,違反森林法,6,6,numeric
9603,202505,機關別總計,違反著作權法,92,92,numeric
9603,202505,機關別總計,違反專利法,0,-,dash_zero
9603,202505,機關別總計,違反商標法,50,50,numeric
9603,202505,機關別總計,公共危險,4257,4257,numeric
9603,202505,機關別總計,侵害墳墓屍體,2,2,numeric
9603,202505,機關別總計,妨害名譽,2318,2318,numeric
9603,202505,機關別總計,違反就業服務法,0,-,dash_zero
9603,202505,機關別總計,違反選罷法,11,11,numeric
9603,202505,機關別總計,妨害秘密,145,145,numeric
9603,202505,機關別總計,遺棄,29,29,numeric
9603,202505,機關別總計,違反貪污治罪條例,0,-,dash_zero
9603,202505,機關別總計,瀆職,10,10,numeric
9603,202505,機關別總計,懲治走私條例,0,-,dash_zero
9603,202505,機關別總計,妨害兵役,1,1,numeric
9603,202505,機關別總計,偽造貨幣,8,8,numeric
9603,202505,機關別總計,偽造度量衡,0,-,dash_zero
9603,202505,機關別總計,偽證,9,9,numeric
9603,202505,機關別總計,誣告,133,133,numeric
9603,202505,機關別總計,湮滅證據,1,1,numeric
9603,202505,機關別總計,藏匿頂替,2,2,numeric
9603,202505,機關別總計,脫逃,0,-,dash_zero
9603,202505,機關別總計,違反槍砲彈藥刀械管制條例,86,86,numeric
9603,202505,機關別總計,其他,2145,2145,numeric
9603,202505,新北市,總計,9773,9773,numeric
9603,202505,新北市,竊盜,1241,1241,numeric
9603,202505,新北市,贓物,0,-,dash_zero
9603,202505,新北市,賭博,30,30,numeric
9603,202505,新北市,傷害,428,428,numeric
9603,202505,新北市,詐欺背信,3492,3492,numeric
9603,202505,新北市,妨害自由,562,562,numeric
9603,202505,新北市,殺人,5,5,numeric
9603,202505,新北市,駕駛過失,494,494,numeric
9603,202505,新北市,妨害家庭及婚姻,5,5,numeric
9603,202505,新北市,妨害風化,16,16,numeric
9603,202505,新北市,妨害性自主罪,90,90,numeric
9603,202505,新北市,恐嚇取財,15,15,numeric
9603,202505,新北市,擄人勒贖,0,-,dash_zero
9603,202505,新北市,侵占,429,429,numeric
9603,202505,新北市,偽造文書印文,156,156,numeric
9603,202505,新北市,違反毒品危害防制條例,730,730,numeric
9603,202505,新北市,毀棄損壞,300,300,numeric
9603,202505,新北市,妨害公務,19,19,numeric
9603,202505,新北市,妨害電腦使用,446,446,numeric
9603,202505,新北市,強盜搶奪,2,2,numeric
9603,202505,新北市,內亂,0,-,dash_zero
9603,202505,新北市,重利,13,13,numeric
9603,202505,新北市,竊佔,17,17,numeric
9603,202505,新北市,偽造有價證券,2,2,numeric
9603,202505,新北市,妨害秩序,9,9,numeric
9603,202505,新北市,違反藥事法,1,1,numeric
9603,202505,新北市,違反國家總動員法,0,-,dash_zero
9603,202505,新北市,違反森林法,0,-,dash_zero
9603,202505,新北市,違反著作權法,26,26,numeric
9603,202505,新北市,違反專利法,0,-,dash_zero
9603,202505,新北市,違反商標法,6,6,numeric
9603,202505,新北市,公共危險,350,350,numeric
9603,202505,新北市,侵害墳墓屍體,0,-,dash_zero
9603,202505,新北市,妨害名譽,468,468,numeric
9603,202505,新北市,違反就業服務法,0,-,dash_zero
9603,202505,新北市,違反選罷法,2,2,numeric
9603,202505,新北市,妨害秘密,21,21,numeric
9603,202505,新北市,遺棄,9,9,numeric
9603,202505,新北市,違反貪污治罪條例,0,-,dash_zero
9603,202505,新北市,瀆職,2,2,numeric
9603,202505,新北市,懲治走私條例,0,-,dash_zero
9603,202505,新北市,妨害兵役,0,-,dash_zero
9603,202505,新北市,偽造貨幣,3,3,numeric
9603,202505,新北市,偽造度量衡,0,-,dash_zero
9603,202505,新北市,偽證,1,1,numeric
9603,202505,新北市,誣告,39,39,numeric
9603,202505,新北市,湮滅證據,1,1,numeric
9603,202505,新北市,藏匿頂替,1,1,numeric
9603,202505,新北市,脫逃,0,-,dash_zero
9603,202505,新北市,違反槍砲彈藥刀械管制條例,15,15,numeric
9603,202505,新北市,其他,327,327,numeric
9603,202505,臺北市,總計,5705,5705,numeric
9603,202505,臺北市,竊盜,607,607,numeric
9603,202505,臺北市,贓物,0,-,dash_zero
9603,202505,臺北市,賭博,15,15,numeric
9603,202505,臺北市,傷害,260,260,numeric
9603,202505,臺北市,詐欺背信,1852,1852,numeric
9603,202505,臺北市,妨害自由,284,284,numeric
9603,202505,臺北市,殺人,3,3,numeric
9603,202505,臺北市,駕駛過失,338,338,numeric
9603,202505,臺北市,妨害家庭及婚姻,0,-,dash_zero
9603,202505,臺北市,妨害風化,25,25,numeric
9603,202505,臺北市,妨害性自主罪,60,60,numeric
9603,202505,臺北市,恐嚇取財,10,10,numeric
